index,CAP,GW,Mix,No_CAP,Res,SW
1853,,,,,,
1856,,,,,,
1857,,,,,,
1860,,,,,,
1864,,,,,,
1868,,,,,,
1870,,,,,,
1871,,,,,,
1872,,,,,,
1873,,,,,,
1875,,,,,,
1876,,,,,,
1877,,,,,,
1878,,,,,,
1879,,,,,,
1880,,,,,,
1881,,60.0,,,,
1882,,,,,,
1883,,65.0,,,,
1884,,,,,,
1885,,,,,,
1886,,,,,,
1887,,,,,,
1888,,,,,,
1889,,,,,,
1890,,,,,,
1891,,,,,,
1892,,,,,,
1893,,,,,,
1894,,,,,,
1895,,,,,,
1896,,,,,,
1897,,,,,,
1898,,,,,,
1899,,,,,,
1900,,18.0,,75.0,,
1901,,,,,,
1902,,,,,,
1903,,,,,,
1904,,0.0,,,,
1905,,,,,,
1906,,,,,,
1907,,,,,,
1908,,,,,,
1909,,,,,,
1910,,,90.0,70.0,,
1911,,,,,,
1912,,,,,,
1913,,,,,,
1914,,,,,,
1915,0.0,116.25,,,,
1916,,,,,,
1917,,22.0,,,,
1918,,80.0,,,,
1919,,170.0,,,,
1920,,250.0,,,,
1921,,,,,,
1922,229.0,,,,,
1923,221.0,,,,,
1924,,,,,,
1925,20.75,1.0,,,,
1926,90.0,,,,,
1927,0.0,,,,,
1928,113.0,40.0,,,,
1929,65.23333333333333,123.0,,,,
1930,88.80166666666666,55.0,,26.0,,28.0
1931,78.79377777777778,,,,,
1932,80.97618253968253,,,,,
1933,94.56864583333333,,,,,
1934,88.72230158730159,,,22.58,,
1935,107.62896666666666,175.5,,121.0,,
1936,118.79348484848487,230.0,,,,
1937,109.30980092592593,218.0,,96.0,,
1938,104.1530625,136.0,,40.57833333333334,,
1939,105.6997142857143,28.69,51.528333333333336,19.053,,
1940,118.61361111111111,107.92,45.4069567099567,48.60113636363636,,
1941,128.40214285714285,46.083,37.398607142857145,55.24655555555555,,
1942,143.7625641025641,65.08500000000001,42.7975,49.588499999999996,,
1943,159.96766666666667,265.1483333333333,42.05375,45.81216253443527,,54.64
1944,131.58642857142857,119.32204761904761,67.37,35.72144158473106,,
1945,172.14625,109.0059090909091,42.49375,37.43944633838384,,41.27833333333333
1946,154.85902749433106,90.59566233766235,42.011833333333335,56.77582281144781,,38.45
1947,175.5505043859649,68.59181818181818,36.56625,78.51674025974026,,38.391666666666666
1948,159.3448892580288,74.78833333333333,129.70277777777778,70.03566911764706,,38.355
1949,144.46361949685536,111.18180555555556,47.81777777777777,61.7645,,35.235
1950,153.81799019607843,72.00540151515152,41.074,64.36286666666666,,33.625
1951,186.3244613821138,125.29114285714286,53.402857142857144,53.38960606060606,,33.165000000000006
1952,176.87761904761905,99.65754444444444,49.253750000000004,60.93756076388889,,30.515
1953,169.84273241590213,124.31991452991453,52.56071428571429,57.90195151515152,,30.735
1954,174.62943229166666,105.08582196969697,55.450833333333335,61.198739697802196,,31.52
1955,184.38216448801742,100.84226851851852,68.17054166666667,58.026761616161615,,30.89
1956,169.75458279569892,99.0790267052767,52.86533068783069,67.2199074074074,70.0,30.45
1957,178.59468208092485,121.61531333333332,51.176573232323236,68.17841379310345,,29.245454545454542
1958,170.09542348008384,122.99516304347826,45.52412698412699,66.71973684210526,,28.16
1959,184.52729508196722,131.54913428571427,60.728809523809524,78.34654320987654,,27.14
1960,184.8911229946524,105.63583333333334,51.52864583333333,62.45727956989247,,27.87846153846154
1961,183.73258426966294,148.93996732026145,54.312107142857144,81.52533333333332,,28.189230769230768
1962,198.06357608465606,150.63598958333333,52.9278125,76.56086419753086,,27.867500000000003
1963,199.35916837069473,187.70805555555555,47.73321428571428,94.09699494949496,,21.73423076923077
1964,197.24295731967564,145.49514322916667,197.66333333333333,74.53573529411766,,28.99384615384616
1965,200.11588112177677,219.75535497835497,76.38833333333334,95.06756756756756,,28.73
1966,215.0843068970393,191.35112352941175,48.63363636363636,97.80955882352941,,78.66
1967,204.53298832584434,197.64979729729728,75.90203703703703,105.48772727272728,,78.7675
1968,203.97331117021275,211.20373015873014,73.22233333333334,101.00885714285714,,156.52666666666667
1969,212.92592331783672,181.72419217687073,115.05799999999999,119.24845679012346,20.1,77.9525
1970,212.38831744471744,189.9206842105263,69.45454545454545,131.29757575757574,,77.47833333333334
1971,256.27415364583334,195.15429487179486,74.742,131.04203125,,77.35326923076923
1972,267.66145480225987,187.38701672240802,82.95444444444443,134.47172413793103,,76.85178571428571
1973,261.36223004694835,189.63169491525426,73.358125,116.66375,,76.68291666666667
1974,280.79316410068424,198.90657702730874,114.91000000000001,151.15205882352942,37.25,77.12255681818182
1975,279.82500373452837,175.75756944444444,92.8457142857143,147.35076923076923,,78.75326923076922
1976,261.34329822616405,186.10123344074472,112.47000000000001,142.3990625,,79.77295454545454
1977,289.8566283826549,175.2920923477564,75.81222222222222,129.060625,,80.77499999999999
1978,260.5170553814002,165.17225172478527,76.346875,139.33771428571427,,71.35444444444444
1979,272.244227611469,198.4231282120789,40.63666666666666,146.28387096774193,,82.5525
1980,271.93439850310335,220.79385228539576,107.54666666666668,137.52261904761903,6.25,81.005
1981,238.54703555555557,173.40199314086814,73.0375,144.3036795051354,,83.03999999999999
1982,241.2738058213716,205.54030905077263,76.1075,135.75079032751762,,85.25
1983,282.9028992673993,200.53070666666667,101.27499999999999,125.78606516290728,,85.125
1984,265.7306488320707,193.43364362190977,155.599375,121.96366964285714,,83.9875
1985,257.44325974363517,213.48527777777778,133.00466666666665,125.83188034188032,31.8,84.03750000000001
1986,255.1033685608546,198.17188047659255,182.9275,123.60209401709402,,83.55
